Date,Close
2/8/2013,393.0777
2/11/2013,391.6012
2/12/2013,390.7403
2/13/2013,391.8214
2/14/2013,394.3039
2/15/2013,396.8414
2/19/2013,403.8284
2/20/2013,396.6262
2/21/2013,398.1628
2/22/2013,400.2549
2/25/2013,395.7804
2/26/2013,395.4601
2/27/2013,400.2899
2/28/2013,401.0006
3/1/2013,403.4981
3/4/2013,411.1628
3/5/2013,419.7213
3/6/2013,416.1057
3/7/2013,416.7143
3/8/2013,416.1758
3/11/2013,417.8274
3/12/2013,414.2188
3/13/2013,413.0677
3/14/2013,411.1808
3/15/2013,407.5582
3/18/2013,404.2989
3/19/2013,406.0657
3/20/2013,407.7614
3/21/2013,406.0356
3/22/2013,405.5602
3/25/2013,405.2248
3/26/2013,406.6162
3/27/2013,401.7313
3/28/2013,397.4911
4/1/2013,400.9956
4/2/2013,406.9265
4/3/2013,403.5041
4/4/2013,397.9325
4/5/2013,391.9165
4/8/2013,387.8124
4/9/2013,389.2138
4/10/2013,395.4851
4/11/2013,395.5902
4/12/2013,395.42
4/15/2013,391.356
4/16/2013,397.0817
4/17/2013,391.6713
4/18/2013,383.34
4/19/2013,400.3349
4/22/2013,400.4571
4/23/2013,404.3539
4/24/2013,407.1337
4/25/2013,404.9545
4/26/2013,401.1107
4/29/2013,409.9395
4/30/2013,412.6973
5/1/2013,410.6252
5/2/2013,415.2198
5/3/2013,423.2829
5/6/2013,431.2058
5/7/2013,429.0436
5/8/2013,437.2518
5/9/2013,436.1757
5/10/2013,440.5551
5/13/2013,439.2038
5/14/2013,443.9936
5/15/2013,458.4029
5/16/2013,452.3869
5/17/2013,455.0446
5/20/2013,454.7193
5/21/2013,453.9385
5/22/2013,445.1547
5/23/2013,441.8364
5/24/2013,437.0967
5/28/2013,441.0756
5/29/2013,434.5892
5/30/2013,435.8154
5/31/2013,436.0446
6/3/2013,434.2488
6/4/2013,429.9796
6/5/2013,430.2799
6/6/2013,432.7523
6/7/2013,440.3049
6/10/2013,445.5551
6/11/2013,440.3449
6/12/2013,436.426
6/13/2013,438.9385
6/14/2013,437.9575
6/17/2013,443.5681
6/18/2013,450.7603
6/19/2013,450.7903
6/20/2013,442.8124
6/21/2013,440.9055
6/24/2013,435.3299
6/25/2013,433.5331
6/26/2013,437.2618
6/27/2013,438.9735
6/28/2013,440.6252
7/1/2013,444.3839
7/2/2013,441.5962
7/3/2013,443.6582
7/5/2013,447.1917
7/8/2013,452.9975
7/9/2013,453.0726
7/10/2013,453.448
7/11/2013,460.5801
7/12/2013,461.9615
7/15/2013,462.8073
7/16/2013,460.2638
7/17/2013,459.7343
7/18/2013,455.7953
7/19/2013,448.7473
7/22/2013,455.8053
7/23/2013,452.3519
7/24/2013,451.9015
7/25/2013,444.2939
7/26/2013,443.1177
7/29/2013,441.5761
7/30/2013,445.9055
7/31/2013,444.3189
8/1/2013,452.5621
8/2/2013,453.7383
8/5/2013,452.9525
8/6/2013,448.7333
8/7/2013,445.7703
8/8/2013,446.7763
8/9/2013,445.6502
8/12/2013,443.1978
8/13/2013,441.0656
8/14/2013,435.3399
8/15/2013,430.2598
8/16/2013,428.8825
8/19/2013,433.2578
8/20/2013,433.1427
8/21/2013,435.0997
8/22/2013,437.2919
8/23/2013,435.5401
8/26/2013,433.6282
8/27/2013,425.5001
8/28/2013,424.6993
8/29/2013,428.1427
8/30/2013,423.8734
9/3/2013,430.6202
9/4/2013,436.2528
9/5/2013,440.2198
9/6/2013,440.2298
9/9/2013,444.471
9/10/2013,444.7793
9/11/2013,448.5431
9/12/2013,446.9785
9/13/2013,444.9785
9/16/2013,444.3239
9/17/2013,443.4981
9/18/2013,452.1117
9/19/2013,449.6442
9/20/2013,452.0066
9/23/2013,443.6932
9/24/2013,443.8634
9/25/2013,439.0536
9/26/2013,439.5241
9/27/2013,438.6332
9/30/2013,438.393
10/1/2013,443.9455
10/2/2013,444.439
10/3/2013,438.483
10/4/2013,436.6112
10/7/2013,433.3029
10/8/2013,427.2618
10/9/2013,428.3579
10/10/2013,434.5541
10/11/2013,436.431
10/14/2013,438.4931
10/15/2013,441.446
10/16/2013,449.4635
10/17/2013,444.8414
10/18/2013,506.2097
10/21/2013,502.1517
10/22/2013,504.0035
10/23/2013,516.2192
10/24/2013,513.2878
10/25/2013,508.1076
10/28/2013,508.0075
10/29/2013,518.6381
10/30/2013,515.7252
10/31/2013,515.8053
11/1/2013,514.0335
11/4/2013,513.5661
11/5/2013,511.2708
11/6/2013,511.8864
11/7/2013,504.479
11/8/2013,508.523
11/11/2013,505.8003
11/12/2013,506.3959
11/13/2013,516.7512
11/14/2013,518.1326
11/15/2013,517.2968
11/18/2013,516.2908
11/19/2013,513.1146
11/20/2013,511.6662
11/21/2013,517.552
11/22/2013,516.4609
11/25/2013,523.488
11/26/2013,529.7342
11/27/2013,532.0866
11/29/2013,530.3248
12/2/2013,527.7672
12/3/2013,527.1566
12/4/2013,529.6191
12/5/2013,529.1987
12/6/2013,535.4699
12/9/2013,539.6091
12/10/2013,542.8723
12/11/2013,539.1836
12/12/2013,535.515
12/13/2013,530.9254
12/16/2013,537.0265
12/17/2013,535.4649
12/18/2013,542.9174
12/19/2013,543.6531
12/20/2013,550.8603
12/23/2013,558.1075
12/24/2013,556.4759
12/26/2013,559.2887
12/27/2013,559.7592
12/30/2013,555.2847
12/31/2013,560.9154
1/2/2014,557.1166
1/3/2014,553.0525
1/6/2014,559.2187
1/7/2014,569.9982
1/8/2014,571.1856
1/9/2014,565.6851
1/10/2014,565.6551
1/13/2014,562.0515
1/14/2014,575.2747
1/15/2014,574.8843
1/16/2014,578.6881
1/17/2014,575.8403
1/21/2014,582.4319
1/22/2014,583.0925
1/23/2014,580.63
1/24/2014,562.4769
1/27/2014,551.1656
1/28/2014,562.0665
1/29/2014,554.0135
1/30/2014,568.2647
1/31/2014,591.0755
2/3/2014,567.2817
2/4/2014,569.6491
2/5/2014,572.1716
2/6/2014,580.56
2/7/2014,589.3087
2/10/2014,587.0515
2/11/2014,595.6851
2/12/2014,593.9383
2/13/2014,600.5499
2/14/2014,602.0014
2/18/2014,606.0454
2/19/2014,601.7712
2/20/2014,602.6571
2/21/2014,602.4969
2/24/2014,606.8613
2/25/2014,610.61
2/26/2014,610.6951
2/27/2014,610.2146
2/28/2014,608.4328
3/3/2014,601.9463
3/4/2014,608.0625
3/5/2014,609.7391
3/6/2014,610.4148
3/7/2014,608.0024
3/10/2014,606.3908
3/11/2014,600.595
3/12/2014,604.2536
3/13/2014,595.1245
3/14/2014,586.9864
3/17/2014,596.646
3/18/2014,606.2356
3/19/2014,600.2246
3/20/2014,599.1786
3/21/2014,592.1115
3/24/2014,579.544
3/25/2014,579.9394
3/26/2014,566.551
3/27/2014,557.6971
